 x_1         f_x1     grad_x1       x_1_step   
4.35633e-01  -4.35633e-01  -1.00000e+00  2.48086e-04  
4.35462e-01  -4.35462e-01  -1.00000e+00  1.71366e-04  
4.35360e-01  1.30608e+00  3.00000e+00  1.02171e-04  
4.35112e-01  -4.35112e-01  -1.00000e+00  2.48090e-04  
4.34940e-01  -4.34940e-01  -1.00000e+00  1.71367e-04  
4.34838e-01  1.30451e+00  3.00000e+00  1.02171e-04  
4.34590e-01  -4.34590e-01  -1.00000e+00  2.48094e-04  
4.34419e-01  -4.34419e-01  -1.00000e+00  1.71368e-04  
4.34316e-01  1.30295e+00  3.00000e+00  1.02171e-04  
4.34068e-01  -4.34068e-01  -1.00000e+00  2.48098e-04  
4.33897e-01  -4.33897e-01  -1.00000e+00  1.71370e-04  
4.33795e-01  1.30138e+00  3.00000e+00  1.02171e-04  
4.33547e-01  -4.33547e-01  -1.00000e+00  2.48102e-04  
4.33375e-01  -4.33375e-01  -1.00000e+00  1.71371e-04  
4.33273e-01  1.29982e+00  3.00000e+00  1.02171e-04  
4.33025e-01  -4.33025e-01  -1.00000e+00  2.48106e-04  
4.32854e-01  -4.32854e-01  -1.00000e+00  1.71372e-04  
4.32752e-01  1.29825e+00  3.00000e+00  1.02171e-04  
4.32503e-01  -4.32503e-01  -1.00000e+00  2.48109e-04  
4.32332e-01  -4.32332e-01  -1.00000e+00  1.71374e-04  
4.32230e-01  1.29669e+00  3.00000e+00  1.02171e-04  
4.31982e-01  -4.31982e-01  -1.00000e+00  2.48113e-04  
4.31810e-01  -4.31810e-01  -1.00000e+00  1.71375e-04  
4.31708e-01  1.29512e+00  3.00000e+00  1.02171e-04  
4.31460e-01  -4.31460e-01  -1.00000e+00  2.48117e-04  
4.31289e-01  -4.31289e-01  -1.00000e+00  1.71376e-04  
4.31187e-01  1.29356e+00  3.00000e+00  1.02171e-04  
4.30938e-01  -4.30938e-01  -1.00000e+00  2.48120e-04  
4.30767e-01  -4.30767e-01  -1.00000e+00  1.71377e-04  
4.30665e-01  1.29199e+00  3.00000e+00  1.02171e-04  
4.30417e-01  -4.30417e-01  -1.00000e+00  2.48124e-04  
4.30245e-01  -4.30245e-01  -1.00000e+00  1.71379e-04  
4.30143e-01  1.29043e+00  3.00000e+00  1.02171e-04  
